session_id,duration,n_events,avg_gap,burstiness,iforest_score,lstm_score,hybrid_score,label
0,10468,5,2093.6,0.0593550042845314,0.1590513889428432,0.0,0.06362055557713729,0
1,5259,3,1753.0,0.4311765190039442,1.0,0.4126878400741793,0.6476127040445077,0
2,11951,5,2390.2,0.7886782962683409,0.5466988860763804,0.4807104593739017,0.5071058300548932,0
3,10169,5,2033.8,0.2360813452898174,0.0,1.0,0.6,0
4,12250,6,2041.6666666666667,0.5650700827949252,0.34573095319663893,0.7708805684084372,0.6008207223237179,0
